hotel_name,locality,price,rating,score,review,link
X Mitr Inn The Grand Palace Bangkok - Samyot,"Phra Nakhon, Bangkok",THB810 ,Exceptional ,9.7,3 reviews,https://www.booking.com/hotel/th/mitr-inn-the-grand-palace-bangkok-samyot.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=1417326802_413408973_2_0_0&highlighted_blocks=1417326802_413408973_2_0_0&matching_block_id=1417326802_413408973_2_0_0&sr_pri_blocks=1417326802_413408973_2_0_0__80983&from=searchresults
Lub d Bangkok Chinatown - Steps from Sam Yod MRT Station,"Phra Nakhon, Bangkok","THB1,380 ",Fabulous ,8.9,267 reviews,https://www.booking.com/hotel/th/lub-d-bangkok-chinatown.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=1270029801_0_2_0_0&highlighted_blocks=1270029801_0_2_0_0&matching_block_id=1270029801_0_2_0_0&sr_pri_blocks=1270029801_0_2_0_0__137974&from=searchresults
ibis Styles Bangkok Sukhumvit Phra Khanong,"Khlong Toei, Bangkok","THB1,199 ",Very good ,8,"2,974 reviews",https://www.booking.com/hotel/th/ibis-styles-bangkok-sukhumvit-phra-khanong.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=276584302_106755105_2_34_0&highlighted_blocks=276584302_106755105_2_34_0&matching_block_id=276584302_106755105_2_34_0&sr_pri_blocks=276584302_106755105_2_34_0__119876&from_sustainable_property_sr=1&from=searchresults
3Howw Hostel @ Sukhumvit 21,"Wattana, Bangkok","THB1,163 ",Good ,7.1,576 reviews,https://www.booking.com/hotel/th/3howwhostel-sukhumvit21.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=79679711_387622260_2_0_0&highlighted_blocks=79679711_387622260_2_0_0&matching_block_id=79679711_387622260_2_0_0&sr_pri_blocks=79679711_387622260_2_0_0__116250&from=searchresults
Matini Ratchada 32,"Chatuchak, Bangkok",THB715 ,Very good ,8.2,201 reviews,https://www.booking.com/hotel/th/matini-rachdaa36.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=402243603_200256226_2_0_0&highlighted_blocks=402243603_200256226_2_0_0&matching_block_id=402243603_200256226_2_0_0&sr_pri_blocks=402243603_200256226_2_0_0__71500&from=searchresults
Amari Bangkok,"Ratchathewi, Bangkok","THB3,460 ",Superb ,9,"4,382 reviews",https://www.booking.com/hotel/th/amari-watergate.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=2739001_407322628_2_2_0&highlighted_blocks=2739001_407322628_2_2_0&matching_block_id=2739001_407322628_2_2_0&sr_pri_blocks=2739001_407322628_2_2_0__346038&from=searchresults
Citrus Suites Sukhumvit 6 by Compass Hospitality,"Khlong Toei, Bangkok","THB1,951 ",Fabulous ,8.6,"1,815 reviews",https://www.booking.com/hotel/th/citrus-suites-sukhumvit-6-bangkok.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=276870341_139590007_0_2_0_301405&highlighted_blocks=276870341_139590007_0_2_0_301405&matching_block_id=276870341_139590007_0_2_0_301405&sr_pri_blocks=276870341_139590007_0_2_0_301405_195136&from=searchresults
Ibis Bangkok Sukhumvit 4,"Khlong Toei, Bangkok","THB1,188 ",Good ,7.8,"3,225 reviews",https://www.booking.com/hotel/th/ibis-bangkok-nana.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=17649604_94316795_2_2_0&highlighted_blocks=17649604_94316795_2_2_0&matching_block_id=17649604_94316795_2_2_0&sr_pri_blocks=17649604_94316795_2_2_0__118800&from=searchresults
Grand Hyatt Erawan Bangkok,"Pathumwan, Bangkok","THB5,220 ",Superb ,9,"1,779 reviews",https://www.booking.com/hotel/th/grand-hyatt-bangkok.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=31107918_349037384_2_2_0&highlighted_blocks=31107918_349037384_2_2_0&matching_block_id=31107918_349037384_2_2_0&sr_pri_blocks=31107918_349037384_2_2_0__522000&from_sustainable_property_sr=1&from=searchresults
Somerset Sukhumvit 71 Bangkok,"Wattana, Bangkok","THB2,236 ",Fabulous ,8.7,94 reviews,https://www.booking.com/hotel/th/somerset-sukhumvit-71-bangkok.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=1304934702_410625211_2_2_0_841262&highlighted_blocks=1304934702_410625211_2_2_0_841262&matching_block_id=1304934702_410625211_2_2_0_841262&sr_pri_blocks=1304934702_410625211_2_2_0_841262_223630&from=searchresults
